Entry Name,Associated Text,Word Count,Associated Image ,Associated Image Caption Line 1,"Associated Image Caption Line 2 (""Photo Credit:"")",Associated Audio,Associated Audio Credit Line 1,"Associated Audio Credit Line 2 (""Written By:"")","Associated Audio Credit Line 3 (""Performed By:"")",Note
Billy Lee Riley,"In 1933, Billy Lee Riley was born the son of a sharecropper in Pocahontas, where he learned to play the guitar from black farmworkers. He signed with Sun Records in 1956 and released Trouble Bound, with Rock with Me Baby on the B side. Riley followed up with Red Hot in 1957, and while the record had the potential to be a hit, it never found commercial success because Sun chose to focus on promoting Jerry Lee Lewis instead. Riley went on to release several more records, but they also failed to find a widespread audience. He eventually moved to Los Angeles, where he played with the likes of Dean Martin and The Beach Boys. In a twist of fate, Riley experienced newfound popularity in the late 1970s with the Rockabilly Revival in Europe and released new records in the 1990s and 2000s. Riley passed away on August 2, 2009 in Jonesboro. ",153,,"Billy Lee Riley, date unknown",Art Meripol,Flyin' Saucers Rock & Roll by Billy Riley and His Little Green Men,"Flyin' Saucers Rock &  Roll, Sun Records, 1957",Ray Scott,Billy Riley and His Little Green Men,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=12927033&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Bobby Brown,"Bobby Brown was born in Olyphant, ten miles from Newport and surrounded by cotton farms. He picked up the guitar after hearing Elvis Presley and soon began playing local parties and hosting his own radio show. After a brief move to St. Louis, Brown moved to Jonesboro in 1958. The following year, Brown released Down at Big Mary’s House on Vaden Records; it was the first rock-and-roll song released by Vaden. He went on to play bass with rockabillies Sonny Burgess and J. C. Caughron and eventually founded his own road band in 1961, performing as Bobby Brown and the Curios.",101,,"Bobby Brown (left), date unknown",Source unknown,Down at Big Mary's House by Bobby Brown,"Down at Big Mary's House, Vaden Records, 1959","Bobby Brown, Connie Winnifred Brown",Bobby Brown and the Curios,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=336262&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Bobby Lee Trammell,"Bobby Lee Trammel was born in Jonesboro on January 31, 1934 into a musical family: his father played the fiddle and his mother played the organ at the local church. Trammell played country music as a teenager and, after meeting Johnny Cash and Carl Perkins, Trammell moved to Los Angeles in hopes of landing a record deal. While in California he recorded a handful of singles, including a few rockabilly numbers. He gained a reputation for wild and vulgar stage antics; in one incident he destroyed Jerry Lee Lewis’s piano and wound up blacklisted from performing in many establishments, deeply damaging his career. Nevertheless, Trammell continued to record and perform into the 1990s. He passed away in Jonesboro in 2008.",120,,"Bobby Lee Trammell, date unknown",Source unknown,Shirley Lee by Bobby Lee Trammell,"Shirley Lee, Fabor Record Company, 1958",Bobby Lee Trammell,Bobby Lee Trammell,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=1331743&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Charlie Rich,"Charlie Rich was born in Colt to rural cotton farmers. He grew up surrounded by music: his mother played piano, his father sang in gospel quartets, and C. J. Allen, a black sharecropper who worked the Rich Family’s land, taught Charlie to play blues piano. In 1958, Rich became a session musician for Sun Records, playing on records by Jerry Lee Lewis, Johnny Cash, Bill Justis, Warren Smith, Billy Lee Riley, Carl Mann, and Ray Smith. Rich also had a moderately successful solo career. In 1960, he released the Top 30 album Lonely Weekends, which featured the rockabilly single Break Up.",101,,"Charlie Rich, 1968",Pictorial Press Ltd / Alamy Stock Photo ,Break Up by Charlie Rich,"Break Up, Sun Records, 1960",Charlie Rich,Charlie Rich,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=148072&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Chuck Comer,"Chuck Comer was born in Arkansas in 1934, settling with his family in Newport in 1952. The following year, Comer won second prize in local radio station KNBY's talent contest, earning him a 15-minute show on the station three times a week. He used the time to showcase his guitar playing and went on to play small clubs throughout the 1950s. In 1959, he made his first recording, Little More Lovin, at the KLCN studio in Blytheville. Although Comer originally intended to perform Little More Lovin as a country ballad, he and his band played it in the rockabilly style “as a pure afterthought.” When Comer didn’t experience commercial success as a country singer, he chose to focus on his radio career instead. He worked as a disc jockey at KOSE in Osceola and KSUD in West Memphis before he passed away on January 11, 2013. ",146,,"Chuck Comer (far left), 1960",Marvin Schwartz,Little More Lovin by Chuck Comer,"Little More Lovin', Vaden Records, 1960",Chuck Comer,Chuck Comer,
Danny Chris Ivy,"Born in Newport on November 15, 1952, Danny Chris Ivy was a rockabilly musician who wrote and performed rockabilly music in the late 1960s or early 1970s, after the genre's heyday. He released Do the Stop around that time. Later, Ivy became an attorney and used the nickname ""The Rebel Lawyer."" He died on February 17, 2017 in Fayetteville. ",59,,"Danny Chris Ivy, date unknown",Source unknown,Do the Stop by Danny Chris Ivy,"Do the Stop, The D.J.'s Choice, date unknown",Danny Chris Ivy,Danny Chris Ivy,
Ed Bruce,"Born William Edwin Bruce on December 29, 1939 in Keiser, Ed Bruce is best known as a country music singer and songwriter who wrote the song Mammas Don’t Let Your Babies Grow Up to Be Cowboys in 1975. Bruce got his start on Sun Records, recording several rockabilly songs including, Rock Boppin’ Baby, Sweet Woman, and Baby That’s Good. ",59,,"Ed Bruce, 1958",Michael Ochs Archives/Getty Images,Baby That's Good by Ed Bruce,"Baby That's Good, Sun Records, 1958",Edwin Bruce,Edwin Bruce,
Jerry Jaye,"Jerry Jaye was born Gerald J. Hatley on October 19, 1937 in Manila, Arkansas. His parents were cotton sharecroppers who, like so many others, only just made ends meet. In the late 1950s, he started a band and began playing around Arkansas. In 1966, Jaye recorded a single, My Girl Josephine, which led to a deal with Hi Records. The song eventually became a hit single in the U.S. and Jaye followed up with a full-length album and four more singles, including the rockabilly songs, Pipeliner Blues and Sugar Bee in 1969. Jaye went on to sing with Bill Black’s Combo and released several country hits under his own name in the 1970s. He continued to tour into the 1990s and released a new album in 2005.",127,,"Jerry Jaye, date unknown",Source unknown,Pipeliner Blues by Jerry Jaye,"Pipeliner Blues, Hi Records, 1969",Aubrey W. Mullican,Jerry Jaye,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=1175965&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True
Jimmy Edwards,"James Wiley Bullington, better known as Jimmy Edwards, was born on February 9, 1925 in Senath, Missouri. While he sang country music at local jamborees as a young man, his musical career didn’t take off until he returned from his service in the U.S. Army and settled in Flint, Michigan. In 1957, he adopted the stage name Jimmy Edwards and recorded his first rockabilly record, Love Bug Crawl. He toured with the likes of Buddy Holly, the Everly Brothers, and Paul Anka in 1958, and released three more rockabilly songs, My Honey, Golden Ruby Blue, and Do That Again, the same year. From here, Edwards wound down his short singing career with country and honky tonk songs, releasing his final record in 1960. Edwards died in Florida on July 31, 2012.",131,,"Jimmy Edwards, date unknown",Daily Dunklin Democrat/Wanda Lee,Love Bug Crawl by Jimmy Edwards,"Love Bug Crawl, Mercury Record Corporation, 1957","James W. Bullington, Jack R. Foshee",Jimmy Edwards,https://www.ascap.com/repertory#ace/search/title/love%20bug%20crawl
Jimmy Haggett  ,"While he was born in Granite City, Illinois, Jimmy Haggett grew up in southeast Missouri and recorded a handful of records with Sam Phillips at Sun Records in Memphis. He recorded several unreleased rockabilly songs for Sun, including Rock Me Baby, Rhythm Called Rock & Roll, Rabbit Action, and How Come You Do Me. In 1966, Haggett purchased a radio station in Piedmont, Missouri, which he directed it until his death in 2000.",73,,"Jimmy Haggett (left), date unknown",Steve Mays,Rabbit Action by Jimmy Haggett,"Rabbit Action, Sun Records, 1956",Jimmy Haggett,Jimmy Haggett,https://www.allmusic.com/song/rabbit-action-mt0010626048
